Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Peer Community In Ecology,2606-4979,,,https://ecology.peercommunityin.org/about/about,0,Not mentioned,2,"""Authors, recommenders for PCI Ecology and reviewers must ensure that the data for recommended articles are available to readers, through deposition in an open data repository, such as Zenodo, Dryad or institutional repositories...""",0,Unclear if data policy applies to code as well,0,Unclear if data policy applies to other research materials as well,0,No mention for reporting guidelines or checklists,0,"Preregistered research welcome, but no mention of disclosure requirement.",0,"Preregistered research welcome, but no mention of disclosure requirement.",3,PCI reviews preregistrations of replication studies and accepts results of reviewed work,3,PCI reviews preregistrations of new studies and accepts results of reviewed work,1,Badges to indicate open data and open code.,9
 Journal of Korean Academy of Nursing,2093-758X,,,https://jkan.or.kr/index.php?body=instructions,,"",0,"Research Data Sharing policy does not require data disclosure. ""This journal encourages and enables you to share data that supports your research""",0,"""...this journal also encourages you to share your software, code, models, algorithms, protocols, methods, and other useful materials related to the project.""",0,"""...this journal also encourages you to share your software, code, models, algorithms, protocols, methods, and other useful materials related to the project.""",2,"""JKAN requires that manuscripts adhere to recognized reporting guidelines..."" followed by links to STROBE, CONSORT, etc.",0,Not mentioned,0,Not mentioned,0,Not mentioned,0,Not mentioned,0,Not mentioned,2
Neurology Clinical Practice,2163-0933,,,https://www.neurology.org/research-policies-and-guidelines,0,No mention,1,"Disclosure required. 'Available upon request' is permitted. ""Authors will be required to include a data availability statement specifying that any data not published within the article is available in a public repository and include digital object identifiers (doi) or accession numbers to the datasets or to state that anonymized data will be shared by request from any qualified investigator.""",0,No mention,1,"""Materials"" included in data policy. ",2,Reporting guidelines required at first submission. ,0,Registration requirements apply only to clinical trials. ,0,No mention,0,No mention,,"",0,No mention,4
Neurology,1526-632X,Elsevier,,https://www.neurology.org/research-policies-and-guidelines,0,No mention,1,"Disclosure required. 'Available upon request' is permitted. ""Authors will be required to include a data availability statement specifying that any data not published within the article is available in a public repository and include digital object identifiers (doi) or accession numbers to the datasets or to state that anonymized data will be shared by request from any qualified investigator.""",0,Not mentioned,1,"""Materials"" included in data availability policy.",2,Reporting guidelines required with first submission. ,0,"Registration requirements apply only to clinical trials requirements established by ICMJE: ""The Journals require investigators to register their clinical trials in a public trials registry...""",0,No mention of analysis plan registration. ,0,No mention,0,No mention,0,No mention,4
Personality Science,2700-0710,,,https://ps.psychopen.eu/index.php/ps/policies,3,Article is not published until providing appropriate citation for data and materials following journal's author guidelines.,2,Data must be posted to a trusted repository. Exceptions must be identified at article submission.,2,Code must be posted to a trusted repository. Exceptions must be identified at article submission.,2,Materials must be posted to a trusted repository. Exceptions must be identified at article submission.,3,Journal requires and enforces adherence to design transparency standards for review and publication.,2,"Article states whether pre-registration of study exists, and, if so, allows journal access during peer review for verification.",2,"Article states whether pre-registration with analysis plan exists, and, if so, allows journal access during peer review for verification.",3,Journal uses Registered Reports1 as a submission option for replication studies with peer review prior to observing the study outcomes.,3,PS encourages the submission of Registered Reports not just for replication studies,2,"",24
Work & Stress,0267-8373,Taylor & Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=twst20,1,"""Authors are further encouraged to cite any data sets referenced in the article""",1,"Under ""Checklist: What to Include"": ""Data availability statement.""",0,,0,,0,,0,,0,,0,,0,,0,2,2
WILEY INTERDISCIPLINARY REVIEWS-COGNITIVE SCIENCE,,Wiley,,https://wires.wiley.com/WileyCDA/Section/id-398153.html,2,"""In recognition of the significance of data as an output of research effort, Wiley has endorsed the FORCE11 Data Citation Principles and is implementing a mandatory data citation policy. We require data to be cited in the same way as article, book, and web citations, and authors are required to include data citations as part of their reference list.""",0,"""Wiley encourages authors to share their research data by archiving it in an appropriate public repository. Authors may provide a data availability statement, including a link to the repository they have used, to be included in their article. This also helps authors comply with funder requests to share data. """,0,no mention of analytical code transparency,0,No mention of materials sharing ,0,No mention of reporting guidelines. ,0,,0,,0,,0,,1,3,3
VISUAL COGNITION,,Taylor & Francis,,https://perma.cc/4X7M-75LN,0,Authors are further encouraged to cite any data sets referenced in the article ,0,"Data Sharing Policy

This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.

Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. If you are uncertain about where to deposit your data, please see this information regarding repositories.",0,,0,,0,,0,,0,,0,,0,,0,0,0
Transportation Research Part F: Traffic Psychology and Behaviour,1369-8478,Elsevier,,https://perma.cc/6UN6-799D,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
TOPICS IN COGNITIVE SCIENCE,,Wiley,,https://perma.cc/25DC-BVE5,0,,0,"In partnership with the non-profit Center for Open Science (COS), Topics in Cognitive Science awards all qualifying authors open science badges recognizing their contributions to the open science movement. 

...

Authors will have an opportunity at the time of manuscript submission and at the time of acceptance to inform themselves of this initiative and to determine whether they wish to participate. Applying and qualifying for open science badges is not a requirement for publishing with Topics in Cognitive Science, but these badges are further incentive for authors to participate in the open science movement and thus to increase the visibility and transparency of their research.",0,"In partnership with the non-profit Center for Open Science (COS), Topics in Cognitive Science awards all qualifying authors open science badges recognizing their contributions to the open science movement. 

...

Authors will have an opportunity at the time of manuscript submission and at the time of acceptance to inform themselves of this initiative and to determine whether they wish to participate. Applying and qualifying for open science badges is not a requirement for publishing with Topics in Cognitive Science, but these badges are further incentive for authors to participate in the open science movement and thus to increase the visibility and transparency of their research.",0,"In partnership with the non-profit Center for Open Science (COS), Topics in Cognitive Science awards all qualifying authors open science badges recognizing their contributions to the open science movement. 

...

Authors will have an opportunity at the time of manuscript submission and at the time of acceptance to inform themselves of this initiative and to determine whether they wish to participate. Applying and qualifying for open science badges is not a requirement for publishing with Topics in Cognitive Science, but these badges are further incentive for authors to participate in the open science movement and thus to increase the visibility and transparency of their research.",0,,0,,0,,0,,0,,1,1,1
